fare_id,route_id,origin_id,destination_id,contains_id
116,,UCTY,MONT,
116,,UCTY,POWL,
116,,UCTY,CIVC,
117,,UCTY,16TH,
119,,UCTY,24TH,
122,,UCTY,GLEN,
123,,UCTY,BALB,
125,,UCTY,DALY,
193,,UCTY,OAKL,
135,,FRMT,SSAN,
141,,FRMT,SBRN,
233,,FRMT,SFIA,
147,,FRMT,MLBR,
93,,FRMT,WDUB,
107,,FRMT,RICH,
103,,FRMT,DELN,
99,,FRMT,PLZA,
96,,FRMT,NBRK,
95,,FRMT,DBRK,
93,,FRMT,ASHB,
90,,FRMT,MCAR,
88,,FRMT,19TH,
88,,FRMT,12TH,
88,,FRMT,LAKE,
83,,FRMT,FTVL,
79,,FRMT,COLS,
74,,FRMT,SANL,
39,,FRMT,BAYF,
39,,FRMT,HAYW,
39,,FRMT,SHAY,
39,,FRMT,UCTY,
115,,FRMT,FRMT,
74,,FRMT,CAST,
96,,FRMT,DUBL,
141,,FRMT,PITT,
130,,FRMT,NCON,
132,,FRMT,COLM,
126,,FRMT,CONC,
118,,FRMT,PHIL,
115,,FRMT,WCRK,
108,,FRMT,LAFY,
101,,FRMT,ORIN,
90,,FRMT,ROCK,
90,,FRMT,WOAK,
123,,FRMT,EMBR,
123,,FRMT,MONT,
123,,FRMT,POWL,
123,,FRMT,CIVC,
124,,FRMT,16TH,
125,,FRMT,24TH,
128,,FRMT,GLEN,
130,,FRMT,BALB,
132,,FRMT,DALY,
199,,FRMT,OAKL,
113,,CAST,SSAN,
118,,CAST,SBRN,
